A1	50.80	53.29	0.00	U.FL-SMA-EDGE-COMBO	U.FL-SMA-EDGE-COMBO
C1	42.06	41.34	90.00	10µF	C0805
C2	44.35	41.34	90.00	1µF	C0805
D1	43.43	37.42	180.00	1N4148	SOD-123
D2	43.43	34.37	180.00	1N4148	SOD-123
D3	43.43	31.32	180.00	1N4148	SOD-123
R1	47.24	41.34	270.00	10K	R0805
R2	55.63	47.24	270.00	390	R0805
R3	57.91	47.24	270.00	390	R0805
SJ1	43.43	36.07	180.00	SJ	SJ
SJ2	43.43	33.02	180.00	SJ	SJ
SJ3	43.43	29.97	180.00	SJ	SJ
SJ4	57.40	30.99	180.00	SJ	SJ
SJ5	57.40	33.53	180.00	SJ	SJ
SJ6	57.40	32.26	0.00	SJ	SJ
